A Bicada do Tico Tico,O Melhor Do Choro Brasileiro Vol. 1,7
Ah! Cavaquinho!,O Melhor Do Choro Brasileiro Vol. 1,8
Agüenta o Leme,O Melhor Do Choro Brasileiro Vol. 1,9
Mulato Anti-Metropolitano,O Melhor Do Choro Brasileiro Vol. 1,10
Alma,O Melhor Do Choro Brasileiro Vol. 1,12
Bem-te-vi Atrevido,O Melhor Do Choro Brasileiro Vol. 1,13
B.H.,O Melhor Do Choro Brasileiro Vol. 1,14
Bicho Carpinteiro,O Melhor Do Choro Brasileiro Vol. 1,15
Bingo,O Melhor Do Choro Brasileiro Vol. 1,16
Bons Tempos,O Melhor Do Choro Brasileiro Vol. 1,17
Brasileirinho,O Melhor Do Choro Brasileiro Vol. 1,18
Camundongo,O Melhor Do Choro Brasileiro Vol. 1,19
Capricho,O Melhor Do Choro Brasileiro Vol. 1,20
Cavaquinho Seresteiro,O Melhor Do Choro Brasileiro Vol. 1,21
Chorei,O Melhor Do Choro Brasileiro Vol. 1,22
Choro,O Melhor Do Choro Brasileiro Vol. 1,24
Cordas Românticas,O Melhor Do Choro Brasileiro Vol. 1,25
Curare,O Melhor Do Choro Brasileiro Vol. 1,26
Dedé,O Melhor Do Choro Brasileiro Vol. 1,28
Desiludido,O Melhor Do Choro Brasileiro Vol. 1,29
Doce de Côco,O Melhor Do Choro Brasileiro Vol. 1,30
É do que ha,O Melhor Do Choro Brasileiro Vol. 1,31
Ele e Eu,O Melhor Do Choro Brasileiro Vol. 1,32
É logo ali,O Melhor Do Choro Brasileiro Vol. 1,34
Eu te quero bem,O Melhor Do Choro Brasileiro Vol. 1,35
Flauta cavaquinho e violão,O Melhor Do Choro Brasileiro Vol. 1,36
Flor Amorosa,O Melhor Do Choro Brasileiro Vol. 1,38
Homenagem à velha guarda,O Melhor Do Choro Brasileiro Vol. 1,40
Por que me enganou?,O Melhor Do Choro Brasileiro Vol. 1,41
Infelizmente,O Melhor Do Choro Brasileiro Vol. 1,42
Ingênuo,O Melhor Do Choro Brasileiro Vol. 1,44
Não tem choro,O Melhor Do Choro Brasileiro Vol. 1,46
Meloso,O Melhor Do Choro Brasileiro Vol. 1,47
Lamentos,O Melhor Do Choro Brasileiro Vol. 1,48
Meu Beguin,O Melhor Do Choro Brasileiro Vol. 1,50
Moleque Moura,O Melhor Do Choro Brasileiro Vol. 1,51
Na Glória,O Melhor Do Choro Brasileiro Vol. 1,52
Noites Cariocas,O Melhor Do Choro Brasileiro Vol. 1,53
Nossa Amizade,O Melhor Do Choro Brasileiro Vol. 1,54
O Mulatinho,O Melhor Do Choro Brasileiro Vol. 1,55
O que vier eu traço,O Melhor Do Choro Brasileiro Vol. 1,56
Os 8 Batutas,O Melhor Do Choro Brasileiro Vol. 1,58
Papagaio embriagado,O Melhor Do Choro Brasileiro Vol. 1,60
Polichinelo,O Melhor Do Choro Brasileiro Vol. 1,62
Queridinho,O Melhor Do Choro Brasileiro Vol. 1,64
Relembrando o passado,O Melhor Do Choro Brasileiro Vol. 1,65
Saudade do Cavaquinho,O Melhor Do Choro Brasileiro Vol. 1,66
Sax Soprano Magoado,O Melhor Do Choro Brasileiro Vol. 1,67
Sofres porque queres,O Melhor Do Choro Brasileiro Vol. 1,68
Sonhando,O Melhor Do Choro Brasileiro Vol. 1,70
Sururú na Cidade,O Melhor Do Choro Brasileiro Vol. 1,71
Teus Olhos,O Melhor Do Choro Brasileiro Vol. 1,72
Tangará na Dança,O Melhor Do Choro Brasileiro Vol. 1,74
Não me toques,O Melhor Do Choro Brasileiro Vol. 1,75
Urubatã,O Melhor Do Choro Brasileiro Vol. 1,76
Urubú Malandro,O Melhor Do Choro Brasileiro Vol. 1,78
Velhos Tempos,O Melhor Do Choro Brasileiro Vol. 1,79
Vou casar no Uruguay,O Melhor Do Choro Brasileiro Vol. 1,80
Zinha,O Melhor Do Choro Brasileiro Vol. 1,82
Tomando Sereno,O Melhor Do Choro Brasileiro Vol. 1,83
